Year,Kolkata ,Haldia ,Paradip,Vishakhapatnam,Ennore,Chennai,Tuticorin,Cochin,New Mangalore,Mormugoa,J.L.Nehru,Mumbai,Kandla,All Ports
2004-05,4.17,4.05,3.41,3.2,1.72,3.94,2.66,2.62,2.96,5.66,1.94,4.21,4.62,3.54
2005-06,4.12,4.89,3.56,3.79,2.23,3.32,2.83,2.7,3,6.06,1.97,4.06,4.39,3.63
2006-07,4.38,3.85,3.54,3.65,1.89,3.36,3.67,2.17,3.14,6.15,1.43,4.63,5.46,3.65
2007-08,5.46,4.26,5.54,3.91,2.08,4.55,3.85,1.94,3.21,6.24,1.8,4.07,5.13,3.98
2008-09,5.1,4.21,4.78,3.93,2.35,4.15,3.64,2.14,3,5.95,1.9,4.95,7.26,4.2
2009-10,6.8,5.01,9.04,4.78,2.11,4.04,3.9,2.08,3.06,8.91,2.01,4.61,5.03,4.63
2010-11,6.21,4.45,7.73,5.84,2.78,4.36,4,2.2,2.7,10.43,2.64,4.96,5.9,5.29
2011-12,5.45,3.62,6.33,5.68,2.17,3.91,4.94,1.82,2.95,7.68,1.94,5.22,6.42,4.56
2012-13,4.72,3.95,4.39,5.39,2.95,3.24,4.31,1.58,3.29,5.06,2.48,5.58,6.33,4.29
2013-14,4.51,3.77,4.62,4.73,4.24,2.46,3.92,1.76,3.18,4.5,2.26,4.25,5.66,3.84
2014-15,4.97,3.36,7.01,5.67,4.32,2.54,3.37,1.69,2.46,3.97,2.24,4.09,4.9,3.89
2015-16,4.78,3.27,4.5,3.84,6.87,2.53,3.53,2.18,2.63,3.37,2.31,3.29,4.28,3.51
2016-17,4.43,5.47,4.99,3.75,2.68,2.51,4,1.99,2.35,3.43,1.96,2.48,4.51,3.48
2017-18,3.77,3.75,3.31,2.58,2.19,2.21,2.4,1.87,2.04,3.15,2.23,2.76,4.25,2.91
2018-19,3.35,3.03,2.51,2.51,1.96,1.98,1.76,1.94,1.93,3.48,2.13,2.69,4.68,2.73
2019-20 ,3.17,2.75,2.34,2.43,1.73,2,1.67,1.45,1.9,2.33,1.23,1.7,2.54,2.12
